sample_id,status_raw,turno,tem_obs,classe
SMP-006376,EM ANALISE,B,False,revisar
SMP-010399,APROVADO PARCIAL,B,True,valido_automatico
SMP-005186,AJUSTE CONCLUIDO,A,False,revisar
SMP-000799,AJUSTE REPROVADO,A,True,recusar_automatico
SMP-003193,CANCELADO,C,True,recusar_automatico
SMP-011683,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-006895,AGUARDANDO REINSPEÇÃO,C,True,revisar
SMP-001089,CANCELADO,A,False,recusar_automatico
SMP-011295,APROVADO PARCIAL,C,True,valido_automatico
SMP-004521,PENDENTE,A,False,revisar
SMP-011417,APROVADO PARCIAL,C,False,valido_automatico
SMP-000586,AJUSTE REPROVADO,A,True,recusar_automatico
SMP-010464,APROVADO PARCIAL,B,True,valido_automatico
SMP-009717,APROVADO PARCIAL,B,True,valido_automatico
SMP-000981,REINSPECAO REPROVADA,A,True,recusar_automatico
SMP-009399,PENDENTE,B,False,valido_automatico
SMP-002580,CANCELADO,B,True,recusar_automatico
SMP-009439,APROVADO PARCIAL,B,False,valido_automatico
SMP-001758,CANCELADO,B,True,recusar_automatico
SMP-008401,EM AJUSTE,A,False,valido_automatico
SMP-008302,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-004678,ESPECIFICAÇÃO EM REVISÃO,A,True,revisar
SMP-011424,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-008183,APROVADO PARCIAL,A,True,valido_automatico
SMP-004100,APROVADO PARCIAL,A,False,revisar
SMP-009101,EM AJUSTE,A,True,valido_automatico
SMP-009568,APROVADO PARCIAL,B,False,valido_automatico
SMP-005732,EM ANALISE,B,True,revisar
SMP-000408,FORA DE ESPECIFICACAO,A,False,recusar_automatico
SMP-009942,AJUSTE REPROVADO,B,False,valido_automatico
SMP-010723,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-006002,EM AJUSTE,B,False,revisar
SMP-006465,PENDENTE,B,False,revisar
SMP-009954,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-006189,CANCELADO,B,True,revisar
SMP-001888,ESPECIFICAÇÃO EM REVISÃO,B,False,recusar_automatico
SMP-006656,EM ANALISE,B,True,revisar
SMP-004176,EM ANALISE,A,True,revisar
SMP-006926,ESPECIFICAÇÃO EM REVISÃO,C,False,revisar
SMP-004569,CANCELADO,A,False,revisar
SMP-004795,PENDENTE,A,True,revisar
SMP-003085,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-007293,REINSPECAO REPROVADA,C,False,revisar
SMP-010117,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-011612,EM AJUSTE,C,True,valido_automatico
SMP-009595,EM AJUSTE,B,False,valido_automatico
SMP-008418,APROVADO PARCIAL,A,True,valido_automatico
SMP-011119,APROVADO PARCIAL,C,True,valido_automatico
SMP-005994,EM ANALISE,B,True,revisar
SMP-007541,EM ANALISE,C,False,revisar
SMP-011084,APROVADO PARCIAL,C,True,valido_automatico
SMP-009412,APROVADO PARCIAL,B,True,valido_automatico
SMP-005836,AGUARDANDO REINSPEÇÃO,B,False,revisar
SMP-001270,REINSPECAO REPROVADA,A,True,recusar_automatico
SMP-004529,AGUARDANDO REINSPEÇÃO,A,True,revisar
SMP-010476,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-001499,AJUSTE REPROVADO,B,True,recusar_automatico
SMP-007759,PENDENTE,C,False,revisar
SMP-002932,CANCELADO,C,False,recusar_automatico
SMP-010025,EM AJUSTE,B,True,valido_automatico
SMP-003437,REINSPECAO REPROVADA,C,True,recusar_automatico
SMP-009544,APROVADO PARCIAL,B,False,valido_automatico
SMP-002077,FORA DE ESPECIFICACAO,B,True,recusar_automatico
SMP-010478,APROVADO PARCIAL,B,False,valido_automatico
SMP-011050,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-002158,AGUARDANDO REINSPEÇÃO,B,False,recusar_automatico
SMP-004121,PENDENTE,A,True,revisar
SMP-005103,PENDENTE,A,True,revisar
SMP-010272,PENDENTE,B,True,valido_automatico
SMP-009124,AJUSTE CONCLUIDO,A,False,valido_automatico
SMP-011794,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-000004,REINSPECAO REPROVADA,A,True,recusar_automatico
SMP-005900,AJUSTE REPROVADO,B,True,revisar
SMP-002741,PENDENTE,C,False,recusar_automatico
SMP-009286,EM AJUSTE,A,False,valido_automatico
SMP-008597,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-006633,PENDENTE,B,False,revisar
SMP-002781,FORA DE ESPECIFICACAO,C,True,recusar_automatico
SMP-009452,AJUSTE CONCLUIDO,B,False,valido_automatico
SMP-008853,PENDENTE,A,True,valido_automatico
SMP-006546,PENDENTE,B,False,revisar
SMP-009621,APROVADO PARCIAL,B,False,valido_automatico
SMP-003370,CANCELADO,C,True,recusar_automatico
SMP-009384,APROVADO PARCIAL,B,False,valido_automatico
SMP-003496,AJUSTE REPROVADO,C,True,recusar_automatico
SMP-011707,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-011847,EM AJUSTE,C,False,valido_automatico
SMP-004664,EM ANALISE,A,True,revisar
SMP-000164,FORA DE ESPECIFICACAO,A,True,recusar_automatico
SMP-009964,EM AJUSTE,B,False,valido_automatico
SMP-005044,EM ANALISE,A,True,revisar
SMP-004554,EM ANALISE,A,True,revisar
SMP-001177,AJUSTE REPROVADO,A,True,recusar_automatico
SMP-001900,REINSPECAO REPROVADA,B,True,recusar_automatico
SMP-006773,AGUARDANDO REINSPEÇÃO,C,False,revisar
SMP-000330,REINSPECAO REPROVADA,A,True,recusar_automatico
SMP-007226,APROVADO PARCIAL,C,False,revisar
SMP-005193,AGUARDANDO REINSPEÇÃO,A,True,revisar
SMP-003301,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-000332,CANCELADO,A,False,recusar_automatico
SMP-006517,PENDENTE,B,False,revisar
SMP-001519,REINSPECAO REPROVADA,B,False,recusar_automatico
SMP-005261,PENDENTE,A,True,revisar
SMP-004527,ESPECIFICAÇÃO EM REVISÃO,A,True,revisar
SMP-009972,EM AJUSTE,B,True,valido_automatico
SMP-011289,APROVADO PARCIAL,C,True,valido_automatico
SMP-003806,CANCELADO,C,True,recusar_automatico
SMP-006036,AGUARDANDO REINSPEÇÃO,B,True,revisar
SMP-004091,EM ANALISE,A,False,revisar
SMP-009603,AJUSTE CONCLUIDO,B,False,valido_automatico
SMP-002605,FORA DE ESPECIFICACAO,B,True,recusar_automatico
SMP-004575,PENDENTE,A,True,revisar
SMP-009702,APROVADO PARCIAL,B,False,valido_automatico
SMP-007374,AGUARDANDO REINSPEÇÃO,C,True,revisar
SMP-001383,CANCELADO,B,False,recusar_automatico
SMP-001835,CANCELADO,B,False,recusar_automatico
SMP-003831,PENDENTE,C,True,recusar_automatico
SMP-007457,EM ANALISE,C,False,revisar
SMP-007949,ESPECIFICAÇÃO EM REVISÃO,C,False,revisar
SMP-004043,EM ANALISE,A,True,revisar
SMP-010692,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-007750,APROVADO PARCIAL,C,True,revisar
SMP-002832,AJUSTE REPROVADO,C,True,recusar_automatico
SMP-007199,PENDENTE,C,True,revisar
SMP-007766,EM ANALISE,C,True,revisar
SMP-009174,AJUSTE CONCLUIDO,A,False,valido_automatico
SMP-002084,PENDENTE,B,False,recusar_automatico
SMP-006551,PENDENTE,B,False,revisar
SMP-009968,AJUSTE CONCLUIDO,B,False,valido_automatico
SMP-006716,AGUARDANDO REINSPEÇÃO,C,True,revisar
SMP-006206,CANCELADO,B,True,revisar
SMP-010628,EM AJUSTE,B,False,valido_automatico
SMP-011237,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-001558,REINSPECAO REPROVADA,B,False,recusar_automatico
SMP-009767,AJUSTE CONCLUIDO,B,False,valido_automatico
SMP-002688,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-007575,AGUARDANDO REINSPEÇÃO,C,True,revisar
SMP-003762,AJUSTE REPROVADO,C,True,recusar_automatico
SMP-011806,APROVADO PARCIAL,C,False,valido_automatico
SMP-004636,AGUARDANDO REINSPEÇÃO,A,False,revisar
SMP-009895,EM AJUSTE,B,False,valido_automatico
SMP-003101,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-009509,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-000051,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-010689,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-010981,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-001416,CANCELADO,B,True,recusar_automatico
SMP-006629,EM ANALISE,B,False,revisar
SMP-002212,FORA DE ESPECIFICACAO,B,True,recusar_automatico
SMP-000556,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-010429,ESPECIFICAÇÃO EM REVISÃO,B,True,valido_automatico
SMP-010547,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-000916,REINSPECAO REPROVADA,A,True,recusar_automatico
SMP-000373,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-011443,EM ANÁLISE,C,True,valido_automatico
SMP-008576,AJUSTE REPROVADO,A,True,valido_automatico
SMP-009721,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-005448,AGUARDANDO REINSPEÇÃO,B,False,revisar
SMP-004435,EM ANALISE,A,True,revisar
SMP-011270,EM AJUSTE,C,False,valido_automatico
SMP-001467,CANCELADO,B,True,recusar_automatico
SMP-004340,REINSPECAO REPROVADA,A,True,revisar
SMP-008049,EM AJUSTE,A,False,valido_automatico
SMP-005696,PENDENTE,B,True,revisar
SMP-011562,EM ANÁLISE,C,True,valido_automatico
SMP-001857,AJUSTE REPROVADO,B,False,recusar_automatico
SMP-004942,AGUARDANDO REINSPEÇÃO,A,True,revisar
SMP-005538,EM ANALISE,B,False,revisar
SMP-008567,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-004002,PENDENTE,A,True,revisar
SMP-010909,PENDENTE,C,False,valido_automatico
SMP-002511,EM AJUSTE,B,False,recusar_automatico
SMP-005904,PENDENTE,B,False,revisar
SMP-007421,PENDENTE,C,True,revisar
SMP-011063,APROVADO PARCIAL,C,True,valido_automatico
SMP-008358,APROVADO PARCIAL,A,True,valido_automatico
SMP-011159,APROVADO PARCIAL,C,True,valido_automatico
SMP-004533,EM ANALISE,A,True,revisar
SMP-010558,APROVADO PARCIAL,B,False,valido_automatico
SMP-002466,CANCELADO,B,True,recusar_automatico
SMP-010473,APROVADO PARCIAL,B,True,valido_automatico
SMP-010567,AJUSTE CONCLUIDO,B,False,valido_automatico
SMP-001508,CANCELADO,B,False,recusar_automatico
SMP-008406,AJUSTE CONCLUIDO,A,False,valido_automatico
SMP-002548,CANCELADO,B,True,recusar_automatico
SMP-008307,APROVADO PARCIAL,A,True,valido_automatico
SMP-007557,EM ANALISE,C,False,revisar
SMP-000400,FORA DE ESPECIFICACAO,A,False,recusar_automatico
SMP-002394,AJUSTE REPROVADO,B,True,recusar_automatico
SMP-010098,EM AJUSTE,B,True,valido_automatico
SMP-000395,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-010193,EM ANÁLISE,B,False,valido_automatico
SMP-000310,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-008091,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-003657,FORA DE ESPECIFICACAO,C,False,recusar_automatico
SMP-001946,AJUSTE REPROVADO,B,False,recusar_automatico
SMP-010470,APROVADO PARCIAL,B,True,valido_automatico
SMP-000080,CANCELADO,A,True,recusar_automatico
SMP-001612,AJUSTE REPROVADO,B,False,recusar_automatico
SMP-011316,EM AJUSTE,C,False,valido_automatico
SMP-006779,AGUARDANDO REINSPEÇÃO,C,True,revisar
SMP-011550,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-001794,AJUSTE REPROVADO,B,True,recusar_automatico
SMP-010449,APROVADO PARCIAL,B,True,valido_automatico
SMP-006724,PENDENTE,C,False,revisar
SMP-000979,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-005187,ESPECIFICAÇÃO EM REVISÃO,A,True,revisar
SMP-010639,EM AJUSTE,B,False,valido_automatico
SMP-003823,REINSPECAO REPROVADA,C,False,recusar_automatico
SMP-008728,EM AJUSTE,A,False,valido_automatico
SMP-009529,AJUSTE CONCLUIDO,B,False,valido_automatico
SMP-003404,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-011175,EM AJUSTE,C,True,valido_automatico
SMP-011384,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-010213,ESPECIFICAÇÃO EM REVISÃO,B,False,valido_automatico
SMP-006091,EM AJUSTE,B,True,revisar
SMP-008203,EM ANÁLISE,A,False,valido_automatico
SMP-007450,EM ANALISE,C,False,revisar
SMP-001045,AJUSTE REPROVADO,A,True,recusar_automatico
SMP-006645,AJUSTE REPROVADO,B,True,revisar
SMP-004411,AGUARDANDO REINSPEÇÃO,A,True,revisar
SMP-006918,EM AJUSTE,C,False,revisar
SMP-006436,ESPECIFICAÇÃO EM REVISÃO,B,True,revisar
SMP-007510,AGUARDANDO REINSPEÇÃO,C,False,revisar
SMP-010944,APROVADO PARCIAL,C,False,valido_automatico
SMP-005405,PENDENTE,B,False,revisar
SMP-000353,FORA DE ESPECIFICACAO,A,False,recusar_automatico
SMP-005585,PENDENTE,B,True,revisar
SMP-003708,AJUSTE REPROVADO,C,True,recusar_automatico
SMP-007682,EM ANALISE,C,True,revisar
SMP-009574,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-009009,APROVADO PARCIAL,A,True,valido_automatico
SMP-003978,REINSPECAO REPROVADA,C,True,recusar_automatico
SMP-005222,EM ANALISE,A,False,revisar
SMP-002933,REINSPECAO REPROVADA,C,False,recusar_automatico
SMP-000572,CANCELADO,A,False,recusar_automatico
SMP-002437,CANCELADO,B,False,recusar_automatico
SMP-000309,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-007339,AJUSTE REPROVADO,C,False,revisar
SMP-005032,AJUSTE CONCLUIDO,A,True,revisar
SMP-007280,AJUSTE CONCLUIDO,C,True,revisar
SMP-005124,AJUSTE CONCLUIDO,A,True,revisar
SMP-009594,APROVADO PARCIAL,B,False,valido_automatico
SMP-007513,ESPECIFICAÇÃO EM REVISÃO,C,False,revisar
SMP-010521,AGUARDANDO REINSPEÇÃO,B,True,valido_automatico
SMP-011389,APROVADO PARCIAL,C,True,valido_automatico
SMP-002324,FORA DE ESPECIFICACAO,B,False,recusar_automatico
SMP-005297,AGUARDANDO REINSPEÇÃO,A,False,revisar
SMP-000072,CANCELADO,A,True,recusar_automatico
SMP-010638,APROVADO PARCIAL,B,True,valido_automatico
SMP-004475,PENDENTE,A,False,revisar
SMP-003341,AJUSTE REPROVADO,C,True,recusar_automatico
SMP-001256,REINSPECAO REPROVADA,A,False,recusar_automatico
SMP-011074,APROVADO PARCIAL,C,True,valido_automatico
SMP-007242,AGUARDANDO REINSPEÇÃO,C,True,revisar
SMP-009147,EM AJUSTE,A,True,valido_automatico
SMP-009866,APROVADO PARCIAL,B,False,valido_automatico
SMP-011667,PENDENTE,C,True,valido_automatico
SMP-003001,CANCELADO,C,False,recusar_automatico
SMP-008688,APROVADO PARCIAL,A,False,valido_automatico
SMP-010696,EM ANÁLISE,C,False,valido_automatico
SMP-008780,EM ANÁLISE,A,True,valido_automatico
SMP-007729,AGUARDANDO REINSPEÇÃO,C,True,revisar
SMP-002136,REINSPECAO REPROVADA,B,False,recusar_automatico
SMP-005289,ESPECIFICAÇÃO EM REVISÃO,A,False,revisar
SMP-010411,EM AJUSTE,B,False,valido_automatico
SMP-008907,EM ANÁLISE,A,True,valido_automatico
SMP-007639,EM AJUSTE,C,False,revisar
SMP-011080,APROVADO PARCIAL,C,False,valido_automatico
SMP-009274,ESPECIFICAÇÃO EM REVISÃO,A,False,valido_automatico
SMP-005161,CANCELADO,A,False,revisar
SMP-002259,CANCELADO,B,False,recusar_automatico
SMP-004350,PENDENTE,A,False,revisar
SMP-003099,AJUSTE REPROVADO,C,True,recusar_automatico
SMP-006408,ESPECIFICAÇÃO EM REVISÃO,B,False,revisar
SMP-011605,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-005368,EM ANALISE,B,True,revisar
SMP-006304,EM ANALISE,B,True,revisar
SMP-006096,EM ANALISE,B,False,revisar
SMP-000960,CANCELADO,A,True,recusar_automatico
SMP-010318,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-004047,AJUSTE CONCLUIDO,A,False,revisar
SMP-001988,CANCELADO,B,True,recusar_automatico
SMP-002386,PENDENTE,B,False,recusar_automatico
SMP-004782,PENDENTE,A,True,revisar
SMP-000126,CANCELADO,A,False,recusar_automatico
SMP-010371,ESPECIFICAÇÃO EM REVISÃO,B,False,valido_automatico
SMP-002055,FORA DE ESPECIFICACAO,B,True,recusar_automatico
SMP-007610,ESPECIFICAÇÃO EM REVISÃO,C,False,revisar
SMP-008683,APROVADO PARCIAL,A,False,valido_automatico
SMP-001101,ESPECIFICAÇÃO EM REVISÃO,A,False,recusar_automatico
SMP-003337,AJUSTE REPROVADO,C,True,recusar_automatico
SMP-010021,EM AJUSTE,B,True,valido_automatico
SMP-000983,REINSPECAO REPROVADA,A,False,recusar_automatico
SMP-004708,PENDENTE,A,False,revisar
SMP-011949,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-003461,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-008332,PENDENTE,A,False,valido_automatico
SMP-005098,APROVADO PARCIAL,A,False,revisar
SMP-009681,EM ANÁLISE,B,False,valido_automatico
SMP-001329,AJUSTE REPROVADO,A,True,recusar_automatico
SMP-005355,AGUARDANDO REINSPEÇÃO,B,False,revisar
SMP-002216,AGUARDANDO REINSPEÇÃO,B,True,recusar_automatico
SMP-000899,AJUSTE REPROVADO,A,True,recusar_automatico
SMP-011614,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-005431,PENDENTE,B,False,revisar
SMP-005568,EM ANALISE,B,False,revisar
SMP-009234,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-007206,ESPECIFICAÇÃO EM REVISÃO,C,False,revisar
SMP-005555,AGUARDANDO REINSPEÇÃO,B,True,revisar
SMP-001282,CANCELADO,A,True,recusar_automatico
SMP-010516,PENDENTE,B,True,valido_automatico
SMP-008432,AJUSTE CONCLUIDO,A,False,valido_automatico
SMP-007686,PENDENTE,C,False,revisar
SMP-003119,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-006085,AGUARDANDO REINSPEÇÃO,B,True,revisar
SMP-002559,ESPECIFICAÇÃO EM REVISÃO,B,True,recusar_automatico
SMP-006917,ESPECIFICAÇÃO EM REVISÃO,C,False,revisar
SMP-008965,AJUSTE CONCLUIDO,A,False,valido_automatico
SMP-010819,EM ANÁLISE,C,False,valido_automatico
SMP-003557,FORA DE ESPECIFICACAO,C,False,recusar_automatico
SMP-004354,APROVADO PARCIAL,A,False,revisar
SMP-004681,ESPECIFICAÇÃO EM REVISÃO,A,True,revisar
SMP-005770,EM AJUSTE,B,False,revisar
SMP-010560,EM ANÁLISE,B,True,valido_automatico
SMP-009008,ESPECIFICAÇÃO EM REVISÃO,A,True,valido_automatico
SMP-009369,APROVADO PARCIAL,B,False,valido_automatico
SMP-006004,EM ANALISE,B,False,revisar
SMP-002514,CANCELADO,B,False,recusar_automatico
SMP-005646,AGUARDANDO REINSPEÇÃO,B,False,revisar
SMP-000865,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-007438,EM ANALISE,C,True,revisar
SMP-000748,CANCELADO,A,False,recusar_automatico
SMP-000741,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-003688,REINSPECAO REPROVADA,C,True,recusar_automatico
SMP-001727,FORA DE ESPECIFICACAO,B,False,recusar_automatico
SMP-002611,FORA DE ESPECIFICACAO,B,True,recusar_automatico
SMP-005891,EM ANALISE,B,True,revisar
SMP-004051,PENDENTE,A,False,revisar
SMP-011933,ESPECIFICAÇÃO EM REVISÃO,C,False,valido_automatico
SMP-000179,FORA DE ESPECIFICACAO,A,True,recusar_automatico
SMP-003031,CANCELADO,C,True,recusar_automatico
SMP-009488,AJUSTE CONCLUIDO,B,False,valido_automatico
SMP-001148,REINSPECAO REPROVADA,A,True,recusar_automatico
SMP-010335,EM AJUSTE,B,False,valido_automatico
SMP-008855,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-001380,ESPECIFICAÇÃO EM REVISÃO,B,True,recusar_automatico
SMP-009025,AJUSTE CONCLUIDO,A,False,valido_automatico
SMP-011253,AGUARDANDO REINSPEÇÃO,C,True,valido_automatico
SMP-005740,EM ANALISE,B,False,revisar
SMP-001706,CANCELADO,B,False,recusar_automatico
SMP-005145,PENDENTE,A,False,revisar
SMP-000647,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-006052,EM ANALISE,B,True,revisar
SMP-011769,APROVADO PARCIAL,C,False,valido_automatico
SMP-010997,EM AJUSTE,C,True,valido_automatico
